Date,Name,Year,Letterboxd URI
2025-02-12,Oppenheimer,2023,https://boxd.it/wUow
2025-02-12,Dune: Part Two,2024,https://boxd.it/pUfA
2025-02-12,The VelociPastor,2017,https://boxd.it/glzW
2025-02-15,OSS 117: From Africa with Love,2021,https://boxd.it/mjce
2025-02-15,Whiplash,2014,https://boxd.it/7bQA
2025-03-07,The Messengers,2007,https://boxd.it/1XpK
2025-03-30,Hook,1991,https://boxd.it/29nQ
2025-04-13,Death of a Unicorn,2025,https://boxd.it/HCPm
2025-04-13,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2025-04-13,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw
2025-04-13,Being Flat,2015,https://boxd.it/djjQ
2025-04-22,Reality,2014,https://boxd.it/5txC
2025-04-22,Nonfilm,2002,https://boxd.it/2MLM
2025-04-22,Nazis at the Center of the Earth,2012,https://boxd.it/3qJG
2025-04-22,Crooks in Clover,1963,https://boxd.it/1w7E
2025-04-22,Abraham Lincoln: Vampire Hunter,2012,https://boxd.it/2oG4
2025-04-23,Zoolander 2,2016,https://boxd.it/aNBE
2025-04-25,The 'Burbs,1989,https://boxd.it/1SDi
2025-04-27,Deerskin,2019,https://boxd.it/lqOW
2025-04-27,Incredible But True,2022,https://boxd.it/rBtC
2025-05-02,Cars 3,2017,https://boxd.it/7IPq
2025-05-14,Dragonlance: Dragons of Autumn Twilight,2008,https://boxd.it/1JiK
2025-06-15,The Addams Family,1991,https://boxd.it/267g
2025-07-02,LEGO Legends of Chima: The Power of the Chi,2013,https://boxd.it/7K6M
2025-08-19,The Butterfly Effect,2004,https://boxd.it/27M0
2025-08-21,Cruella,2021,https://boxd.it/bbKg
2025-08-22,Pitch Perfect 3,2017,https://boxd.it/bUre
2025-10-11,Thelma & Louise,1991,https://boxd.it/28Ew
2025-10-13,MFKZ,2017,https://boxd.it/gvme
2025-10-14,Attack of the Killer Tomatoes!,1978,https://boxd.it/27fU
2025-10-21,Jojo Rabbit,2019,https://boxd.it/iEBG
2025-10-21,The Pianist,2002,https://boxd.it/2aqc
2025-10-27,The Twits,2025,https://boxd.it/yWp6
2025-11-04,Keep an Eye Out,2018,https://boxd.it/h1aY
